product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
Cadbury Dairy Milk Chocolate Easter Bunny 100g,100g,,https://assets.woolworths.com.au/images/1005/254412.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.75,$4.75/100g,False,,,
Cadbury Caramilk White Chocolate Easter Eggs 113g,113g,,https://assets.woolworths.com.au/images/1005/252101.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$3.98/100g,False,,,
Ferrero Easter Eggs Cocoa Milk Chocolate 100g,100g,,https://assets.woolworths.com.au/images/1005/769676.jpg?impolicy=wowsmkqiema&w=260&h=260,4,9.3,$9.30/100g,False,,,
Kinder Surprise Milk Chocolate Pink Easter Bunny 75g,75g,,https://assets.woolworths.com.au/images/1005/954810.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.3,$8.40/100g,False,,,
Allen's Bunny Carrots Tropical Flavoured 190g,190g,,https://assets.woolworths.com.au/images/1005/109982.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.0,$2.11/100g,False,,,
KitKat Chocolate Easter Bunny 29g,29g,,https://assets.woolworths.com.au/images/1005/75904.jpg?impolicy=wowsmkqiema&w=260&h=260,4,1.5,$5.17/100g,False,,,
Cadbury Creme Egg Chocolate Easter Eggs 240g,240g,,https://assets.woolworths.com.au/images/1005/250929.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.0,$4.17/100g,False,,,
Cadbury Dream White Chocolate Hollow Easter Eggs 10 pack,10 pack,,https://assets.woolworths.com.au/images/1005/6045196.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.12/100g,False,,,
Kinder Milk Chocolate Easter Bunny 3 Pack 45g,45g,,https://assets.woolworths.com.au/images/1005/333844.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$10.00/100g,False,,,
Kinder Mini Easter Eggs Milk 100g,100g,,https://assets.woolworths.com.au/images/1005/549576.jpg?impolicy=wowsmkqiema&w=260&h=260,4,8.0,$8.00/100g,False,,,
Kinder Easter Hazelnut Chocolate Mini Eggs Bag 100g,100g,,https://assets.woolworths.com.au/images/1005/669562.jpg?impolicy=wowsmkqiema&w=260&h=260,4,8.0,$8.00/100g,False,,,
Cadbury Dairy Milk Chocolate Easter Eggs 800g,800g,,https://assets.woolworths.com.au/images/1005/68739.jpg?impolicy=wowsmkqiema&w=260&h=260,4,25.0,$3.11/100g,False,,,
Reese's Easter Eggs Bag Peanut Butter 92g,92g,,https://assets.woolworths.com.au/images/1005/6048245.jpg?impolicy=wowsmkqiema&w=260&h=260,4,3.9,$4.24/100g,False,,,
Cadbury Marshmallow Eggs Easter Chocolate 150g,150g,,https://assets.woolworths.com.au/images/1005/202696.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$4.00/100g,False,,,
Cadbury Dairy Milk Humpty Dumpty Chocolate Easter Egg Gift Box 132g,132g,,https://assets.woolworths.com.au/images/1005/65343.jpg?impolicy=wowsmkqiema&w=260&h=260,4,11.5,$8.71/100g,False,,,
Woolworths Brioche Fruit Hot Cross Buns 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/6031156.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.0,$1.00/1ea,False,,,
Cadbury Crunchie Chocolate Hollow Easter Egg 110g,110g,,https://assets.woolworths.com.au/images/1005/69790.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$5.00/100g,False,,,
Darrell Lea Original 100s & 1000s Hand Rolled Egg Milk Chocolate 135g,135g,,https://assets.woolworths.com.au/images/1005/125526.jpg?impolicy=wowsmkqiema&w=260&h=260,4,9.5,$7.04/100g,False,,,
Pistachio Papi Easter Mini Eggs Filled With Truffles 5 pack,5 pack,,https://assets.woolworths.com.au/images/1005/6047967.jpg?impolicy=wowsmkqiema&w=260&h=260,4,15.0,$3.00/1ea,False,,,
Red Tulip Easter Hunt Chocolate Mini Eggs 916g,916g,,https://assets.woolworths.com.au/images/1005/671347.jpg?impolicy=wowsmkqiema&w=260&h=260,4,25.0,$2.73/100g,False,,,
Darrell Lea Rocklea Road Speckled Mini Milk Chocolate Easter Eggs 250g,250g,,https://assets.woolworths.com.au/images/1005/427475.jpg?impolicy=wowsmkqiema&w=260&h=260,4,9.0,$3.60/100g,False,,,
Easter Danish Style Butter Cookies & Tin Assorted 114g,114g,,https://assets.woolworths.com.au/images/1005/238568.jpg?impolicy=wowsmkqiema&w=260&h=260,4,3.0,$2.63/100g,False,,,
Cadbury Dairy Milk Chocolate Bunny Bubbly Mint 32g,32g,,https://assets.woolworths.com.au/images/1005/407339.jpg?impolicy=wowsmkqiema&w=260&h=260,4,1.75,$5.47/100g,False,,,
Cadbury Marshmallow Eggs Easter Chocolate 325g,325g,,https://assets.woolworths.com.au/images/1005/811296.jpg?impolicy=wowsmkqiema&w=260&h=260,4,9.0,$2.77/100g,False,,,
Lindt Lindor Easter Assorted Chocolate Mini Eggs Bag 90g,90g,,https://assets.woolworths.com.au/images/1005/539087.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$6.67/100g,False,,,
Darrell Lea Milk Chocolate Nougat Easter Egg 150g,150g,,https://assets.woolworths.com.au/images/1005/6049477.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.5,$5.00/100g,False,,,
Cadbury Easter Dairy Milk Pascall Clinkers Chocolate Bunny 6 pack,6 pack,,https://assets.woolworths.com.au/images/1005/6046527.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.0,$5.56/100g,False,,,
Cadbury Dairy Milk Chocolate Easter Bunny 150g,150g,,https://assets.woolworths.com.au/images/1005/796638.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.67/100g,False,,,
Cadbury Dairy Milk Chocolate Easter Egg Gift Box 168g,168g,,https://assets.woolworths.com.au/images/1005/397139.jpg?impolicy=wowsmkqiema&w=260&h=260,4,13.5,$8.04/100g,False,,,
Cadbury Micro Mini Eggs Chocolate Easter Bunny 160g,160g,,https://assets.woolworths.com.au/images/1005/253288.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.38/100g,False,,,
Cadbury Marshmallow Eggs Pascall Pineapple Lumps 150g,150g,,https://assets.woolworths.com.au/images/1005/811293.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$4.00/100g,False,,,
Lindt Lindor Milk Chocolate Mini Easter Eggs 90g,90g,,https://assets.woolworths.com.au/images/1005/670985.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$6.67/100g,False,,,
Woolworths Easter Marshmallows 300g,300g,,https://assets.woolworths.com.au/images/1005/775131.jpg?impolicy=wowsmkqiema&w=260&h=260,4,3.55,$1.18/100g,False,,,
Lindt Easter Gold Bunny Milk Chocolate 50g,50g,,https://assets.woolworths.com.au/images/1005/780073.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.9,$9.80/100g,False,,,
Cadbury Easter Hunt Assortment Gift Box 500g,500g,,https://assets.woolworths.com.au/images/1005/254309.jpg?impolicy=wowsmkqiema&w=260&h=260,4,14.0,$2.80/100g,False,,,
Kinder Surprise Milk Chocolate Blue Easter Bunny 75g,75g,,https://assets.woolworths.com.au/images/1005/769757.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.3,$8.40/100g,False,,,
Kinder Surprise Maxi Easter Egg Dino World 150g,150g,,https://assets.woolworths.com.au/images/1005/518049.jpg?impolicy=wowsmkqiema&w=260&h=260,4,18.9,$12.60/100g,False,,,
Corinthians Easter Flavoured Cream Wafers Hot Cross Bun 50g,50g,,https://assets.woolworths.com.au/images/1005/6043971.jpg?impolicy=wowsmkqiema&w=260&h=260,4,2.0,$4.00/100g,False,,,
Cadbury Mint Bubbly Chocolate Easter Bunny Sharepack 192g,192g,,https://assets.woolworths.com.au/images/1005/399153.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.0,$5.21/100g,False,,,
Woolworths Free From Gluten Fruit Hot Cross Buns 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/58971.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$1.38/1ea,False,,,
Darrell Lea Milk Chocolate Rocklea Road Easter Bunny 170g,170g,,https://assets.woolworths.com.au/images/1005/125520.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$3.53/100g,False,,,
Darrell Lea Milk Chocolate Easter Hunt Eggs 110g,110g,,https://assets.woolworths.com.au/images/1005/399760.jpg?impolicy=wowsmkqiema&w=260&h=260,4,3.75,$3.41/100g,False,,,
Kinder Surprise Maxi Easter Egg Natoons 100g,100g,,https://assets.woolworths.com.au/images/1005/797915.jpg?impolicy=wowsmkqiema&w=260&h=260,4,15.0,$15.00/100g,False,,,
Kinder Surprise Maxi Easter Egg Barbie Assorted 100g,100g,,https://assets.woolworths.com.au/images/1005/512600.jpg?impolicy=wowsmkqiema&w=260&h=260,4,15.0,$15.00/100g,False,,,
Ferrero Rocher Classic Chocolate Easter Egg 100g,100g,,https://assets.woolworths.com.au/images/1005/253337.jpg?impolicy=wowsmkqiema&w=260&h=260,4,14.0,$14.00/100g,False,,,
Ferrero Grand Rocher Dark Chocolate 125g,125g,,https://assets.woolworths.com.au/images/1005/169524.jpg?impolicy=wowsmkqiema&w=260&h=260,4,15.0,$12.00/100g,False,,,
Cadbury Roses Chocolate Gift Box 150g,150g,,https://assets.woolworths.com.au/images/1005/362458.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.0,$3.33/100g,False,,,
Cadbury Dairy Milk Chocolate Easter Bunny Sharepack 204g,204g,,https://assets.woolworths.com.au/images/1005/189762.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.0,$4.90/100g,False,,,
Lindt Easter Hen Milk Chocolate Eggs Bag 90g,90g,,https://assets.woolworths.com.au/images/1005/809624.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$6.67/100g,False,,,
M&M's Peanut Speckled Egg Chocolate Easter Share Bag 150g,150g,,https://assets.woolworths.com.au/images/1005/253366.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.67/100g,False,,,
Cadbury Marvellous Creations Chocolate Easter Bunny Sharepack 198g,198g,,https://assets.woolworths.com.au/images/1005/251383.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.0,$5.05/100g,False,,,
Cadbury Cherry Ripe Chocolate Easter Egg Gift Box 171g,171g,,https://assets.woolworths.com.au/images/1005/410022.jpg?impolicy=wowsmkqiema&w=260&h=260,4,13.5,$7.89/100g,False,,,
Corinthians Easter Flavoured Cream Wafers Tiramisu 50g,50g,,https://assets.woolworths.com.au/images/1005/6043976.jpg?impolicy=wowsmkqiema&w=260&h=260,4,2.0,$4.00/100g,False,,,
Trolli Easter Funny Bunnies Lolly Mini Pack Bag 300g,300g,,https://assets.woolworths.com.au/images/1005/124734.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$2.00/100g,False,,,
Darrell Lea Milk Chocolate Smooth & Creamy Easter Bunny 160g,160g,,https://assets.woolworths.com.au/images/1005/125521.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$3.75/100g,False,,,
