product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
Tomato Onion & Garlic Pasta Sauce 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/5e1515f7-9835-4e0e-9c80-4f2e6339eb6c/Tomato%20Onion%20%20Garlic%20Pasta%20Sauce%20500g,1,2.29,$0.46/100g,False,,,
Puff Pastry 1kg,1kg,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/6083e40f-06ca-41a4-9959-7ce1a9acc861/Puff%20Pastry%201kg,1,3.79,$0.38/100g,False,,,
Sensitive Laundry Powder 5kg,5kg,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/aa3ff28b-3818-4a11-9d30-51e675bb30fa/Sensitive%20Laundry%20Powder%205kg,1,24.99,$5.00/1kg,False,,,
"Mild Hungarian Style Salami 4 Pack, 320g",320g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/eb40ef10-26e9-40b3-8460-b6a77970ef87/Mild%20Hungarian%20Style%20Salami%204%20Pack%20320g,1,7.59,$23.72/1kg,False,,,
Crinkle Cut Original Potato Chips 230g,230g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/b2a0ffcf-cee9-42ff-b6d3-679f600eca2e/Crinkle%20Cut%20Original%20Potato%20Chips%20230g,1,2.69,$1.17/100g,False,,,
Twisted Coolers 15 Pack 890ml,890ml,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/b9549acb-aa1c-4335-a117-8df5a8c9f0ee/Twisted%20Coolers%2015%20Pack%20890ml,1,14.99,$1.68/100ml,False,,,
Sundried Tomato Chicken & Pasta 370g,370g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/0c66c5a4-bc12-4f60-877a-264e3eb585ca/Sundried%20Tomato%20Chicken%20%20Pasta%20370g,1,4.49,$1.21/100g,False,,,
Protein Bar Peanut Butter Crisp 30g,30g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/07474d4b-7769-405f-bcb6-51695ac2820e/Protein%20Bar%20Peanut%20Butter%20Crisp%2030g,1,2.0,$6.67/100g,False,,,
Sparkling Margarita 4 Pack 330ml,330ml,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/0e55095b-15c5-4a70-91fc-f71655d8e0f2/Sparkling%20Margarita%204%20Pack%20330ml,1,16.99,,False,,,
Soup in a Cup Dutch Curry with Rice 2 Pack 60g,60g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/cb297ba3-fcf7-48ea-a448-f590bbb83064/Soup%20in%20a%20Cup%20Dutch%20Curry%20with%20Rice%202%20Pack%2060g,1,0.99,$1.65/100g,False,,,
Coffee Capsules Tauro 16 Pack 124g,124g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/bcdf1a8a-c8b2-4441-a337-4b51085c9c7f/Coffee%20Capsules%20Tauro%2016%20Pack%20124g,1,7.99,$0.50/1ea,False,,,
Cocktail Truss Tomatoes 250g,250g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/c0cd2dba-8f95-47f1-a46c-a24b51dbc484/Cocktail%20Truss%20Tomatoes%20250g,1,3.49,$13.96/1kg,False,,,
"Peas, Carrots & Super Sweet Corn 1kg",1kg,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/730329cf-24ba-490d-aa49-99af08412b92/Peas%20Carrots%20%20Super%20Sweet%20Corn%201kg,1,3.59,$3.59/1kg,False,,,
Organic Golden Berries 100g,100g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/48a18ad2-a8ab-4bbc-a21b-9212047535fc/Organic%20Golden%20Berries%20100g,1,4.59,$45.90/1kg,False,,,
Lebanese Bread White 6 Pack 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/f36c96b0-8a48-4373-9196-7c1f79e7a6df/Lebanese%20Bread%20White%206%20Pack%20500g,1,2.49,$0.50/100g,False,,,
Valencia Oranges 3kg,3kg,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/4384f344-f443-4d73-87f7-b5c63759739c/Valencia%20Oranges%203kg,1,7.99,$2.66/1kg,False,,,
Tuna Chunks in Oil 425g,425g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/465c058c-b694-43e0-9c61-f9f48c70f060/Tuna%20Chunks%20in%20Oil%20425g,1,3.29,$7.74/1kg,False,,,
Natural Coconut Flakes 200g,200g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/4a9f84b4-6e7d-45d4-bdf9-bba5d143ac75/Natural%20Coconut%20Flakes%20200g,1,2.99,$14.95/1kg,False,,,
Paper Towel Double Length 3 Ply 3 Pack,3 Pack,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/3c0084a8-65c8-4986-b2e0-b731435d43b9/Paper%20Towel%20Double%20Length%203%20Ply%203%20Pack,1,4.89,$1.36/100sheets,False,,,
Ropes Mixed Berry 8 Pack 160g,160g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/d4e99e6d-cdeb-4aa5-8315-c339a0b6aa42/Ropes%20Mixed%20Berry%208%20Pack%20160g,1,3.89,$2.43/100g,False,,,
Yellowfin Tuna Chunks with Pepper And Lemon Flavour 95g,95g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/208eb9ff-3cc2-43bc-a808-253b10df8a13/Yellowfin%20Tuna%20Chunks%20with%20Pepper%20And%20Lemon%20Flavour%2095g,1,1.29,$13.58/1kg,False,,,
"Fig, Date and Balsamic Chutney 225g",225g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/86d9019f-f565-43cb-bbd1-3b7944d36b8e/Fig%20Date%20and%20Balsamic%20Chutney%20225g,1,3.99,$1.70/100g,False,,,
Gravy Beef,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/fd8bf125-5c9f-4cfb-aa97-b7834dfd798c/Gravy%20Beef,1,10.19,$16.99/1kg,False,,,
Honey Gold Mango Each,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/0ab82dc3-47a1-4f6b-b858-433928e5512d/Honey%20Gold%20Mango%20Each,1,3.29,$3.29/1ea,False,,,
Tasty Shredded Cheese 700g,700g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/10d9841a-5cac-4eb7-9f5c-2619774fb39d/Tasty%20Shredded%20Cheese%20700g,1,8.79,$12.56/1kg,False,,,
Butter Chicken Simmer Sauce 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/eb9bd309-4804-497c-8b65-eb8b245ace10/Butter%20Chicken%20Simmer%20Sauce%20500g,1,2.49,$0.50/100g,False,,,
Assorted Liquid Hand Wash 250ml,250ml,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/dedd516d-e092-4436-9b3b-bf85652cc002/Assorted%20Liquid%20Hand%20Wash%20250ml,1,2.0,$0.80/100ml,False,,,
Pork Belly,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/4d4e08ed-558a-4e7f-b33e-d40debd91be2/Pork%20Belly,1,16.62,$18.49/1kg,False,,,
Planner or Family Calendar,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/d6a3c4b0-1b08-4c51-931d-360ff567731b/Planner%20or%20Family%20Calendar,1,7.99,,False,,,
Platinum Plus Dishwashing Tablets 70 Pack,70 Pack,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/226c380b-c186-46d0-bb5f-50d865a299a3/Platinum%20Plus%20Dishwashing%20Tablets%2070%20Pack,1,29.99,,False,,,
Plug in Diffuser,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/ca4e5ab3-c745-4b42-bb1a-448d00a31a9a/Plug%20in%20Diffuser,1,6.99,$6.99/1ea,False,,,
Fruit Swirl Blueberry Yogurt 700g,700g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/8c36ab9d-6657-4dfe-a6a8-3b863380fdb0/Fruit%20Swirl%20Blueberry%20Yogurt%20700g,1,4.89,$0.70/100g,False,,,
Liquid Bleach 2.5L,2.5L,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/7e16abf9-47e8-40b4-b2b6-5d5d1113f8ad/Liquid%20Bleach%202.5L,1,2.09,$0.84/1l,False,,,
Salad Leaf Mix 300g,300g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/80370d3a-7f99-48ef-b62a-6f3ee9a1de51/Salad%20Leaf%20Mix%20300g,1,3.99,$13.30/1kg,False,,,
Assorted Incontinence Pads,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/1cff855a-4c64-4e74-b987-ebb156bb90fd/Assorted%20Incontinence%20Pads,1,2.79,$0.23/1ea,False,,,
Hot Dog Frankfurts 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/7bdd35c3-2a04-4d38-80c6-18f51f0f0e4a/Hot%20Dog%20Frankfurts%20500g,1,2.59,$5.18/1kg,False,,,
Incontinence Pants for Women Medium or Large 8 Pack,8 Pack,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/03a64238-977b-47e4-bd1b-0ffb1b20e844/Incontinence%20Pants%20for%20Women%20Medium%20or%20Large%208%20Pack,1,8.49,$1.06/1ea,False,,,
Regular or Long Liners,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/a8ecf66a-995b-45f4-8183-0c5338c35ee2/Regular%20or%20Long%20Liners,1,1.79,$0.04/1ea,False,,,
Assorted Garden Ties or Labels,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/b4d959d0-4249-4d57-aec6-a75d3f38cb95/Assorted%20Garden%20Ties%20or%20Labels,1,3.99,,False,,,
Frozen Bakes Broccoli 800g,800g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/8e919ab2-e557-492a-b847-1fb266b51210/Frozen%20Bakes%20Broccoli%20800g,1,6.59,$8.24/1kg,False,,,
Microwave Brown Rice Cups 2 Pack 125g,125g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/f3bd3bb5-c36e-45d8-b757-76b0199965a5/Microwave%20Brown%20Rice%20Cups%202%20Pack%20125g,1,1.99,$0.80/100g,False,,,
Havarti Slices 200g,200g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/47422e7c-edcf-4eae-89cd-e9161adbfb48/Havarti%20Slices%20200g,1,3.59,$17.95/1kg,False,,,
Everyday Sunscreen SPF 50+ 1L,1L,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/c3357b10-5640-4748-af4e-e850fe1923bf/Everyday%20Sunscreen%20SPF%2050%201L,1,9.99,$9.99/1l,False,,,
Cosmic Flavour Zooper Dooper 24 Pack 70ml,70ml,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/88dbbd95-0a39-461b-b79c-1c867136beee/Cosmic%20Flavour%20Zooper%20Dooper%2024%20Pack%2070ml,1,5.49,$3.27/1l,False,,,
Greenshell Mussels Original 375g,375g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/71ad2662-f643-467b-b808-e9825ba09d86/Greenshell%20Mussels%20Original%20375g,1,4.99,$13.31/1kg,False,,,
